Substratum	Treatment_2	TH	n	SL	RL	NL	SDM	LDM	RDM	TDM	SMR	LMR	RMR	RAB	RLR
Manure	6_Manure+Trichoderma	With	1	19	8	6	0.0588	0.0719	0.0119	0.1426	0.41234	0.50421	0.08345	10.98319	0.16551
Manure	6_Manure+Trichoderma	With	2	14.75	8.1	5	0.03535	0.0395	0.0148	0.08965	0.39431	0.4406	0.16509	2.52872	0.37468
Manure	6_Manure+Trichoderma	With	4	16.4	7.9	5	0.03563	0.03458	0.00865	0.07885	0.45181	0.43849	0.1097	2.0289	0.25018
Manure	6_Manure+Trichoderma	With	2	17.4	7.85	6	0.0495	0.056	0.01445	0.11995	0.41267	0.46686	0.12047	3.65052	0.25804
Manure	6_Manure+Trichoderma	With	2	18.15	8.05	6	0.0574	0.06965	0.0156	0.14265	0.40238	0.48826	0.10936	4.07212	0.22398
Manure	6_Manure+Trichoderma	With	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Manure	6_Manure+Trichoderma	With	1	18.5	14.5	5	0.0839	0.0853	0.0343	0.2035	0.41229	0.41916	0.16855	4.93294	0.40211
Manure	6_Manure+Trichoderma	With	2	9.65	4.7	5	0.01335	0.01835	0.0041	0.0358	0.37291	0.51257	0.11453	3.86585	0.22343
Manure	6_Manure+Trichoderma	With	2	13.5	5	5	0.0209	0.02345	0.00525	0.0496	0.42137	0.47278	0.10585	4.22381	0.22388
Manure	6_Manure+Trichoderma	With	1	12.9	7.3	6	0.0232	0.0498	0.0096	0.0826	0.28087	0.60291	0.11622	7.60417	0.19277
Manure	6_Manure+Trichoderma	With	2	13.8	6.3	5	0.02595	0.02755	0.0051	0.0586	0.44283	0.47014	0.08703	5.2451	0.18512
Manure	6_Manure+Trichoderma	With	1	17	7.6	6	0.0525	0.0783	0.0172	0.148	0.35473	0.52905	0.11622	7.60465	0.21967
Manure	6_Manure+Trichoderma	With	2	13	9.15	5	0.0294	0.03985	0.00845	0.0777	0.37838	0.51287	0.10875	4.09763	0.21205
Manure	6_Manure+Trichoderma	With	1	12.3	5	5	0.0201	0.0278	0.084	0.1319	0.15239	0.21077	0.63685	0.57024	3.02158
