Genotype	Pollination	Season	Period	Repetition	Esp_Total	Esp_Epi_Par_Col	Esp_Par	Esp_Par_Col_End	Area_celulas_1	Area_celulas_2	Area_celulas_3
Santa Cruz	Mechanics	Summer	28	2	6661.5343	127.2834	6477.9670	127.2325	25978.1850	573021.1600	6920.6317
Santa Cruz	Mechanics	Summer	28	3	5887.1237	86.9820	5587.0640	178.7763	22995.7390	458854.5400	6976.6047
Santa Cruz	Mechanics	Summer	28	4	5950.7980	87.0757	5690.1740	139.6736	26336.1740	596896.0100	14815.5565
Santa Cruz	Mechanics	Summer	35	1	8175.9277	144.1744	7841.8793	178.7763	30491.6660	705211.7800	11480.2086
Santa Cruz	Mechanics	Summer	35	2	7405.8337	92.2716	7157.5600	127.2834	28814.8640	628546.6900	10811.5221
Santa Cruz	Mechanics	Summer	35	3	7553.4160	103.8056	7144.6093	174.5153	22433.0100	593159.9000	3132.7076
Santa Cruz	Mechanics	Summer	35	4	7140.7307	132.6405	6789.2513	253.9165	33923.3980	454265.6600	18533.7381
Santa Cruz	Mechanics	Summer	42	1	7835.0057	93.8910	7609.2997	118.3575	43674.7200	771471.1800	13415.6258
Santa Cruz	Mechanics	Summer	42	2	7587.3107	109.5726	7344.7003	138.4075	41986.8400	573649.4600	16885.9701
Santa Cruz	Mechanics	Summer	42	3	8108.9003	98.3977	7848.9143	133.7684	28895.3800	641308.6400	18399.9418
Santa Cruz	Mechanics	Summer	42	4	7628.4580	109.5726	7342.3350	139.0463	22585.6660	765464.8600	13620.0637
Santa Cruz	Mechanics	Summer	49	2	8940.9567	87.6468	8747.8270	125.1309	34703.4320	685150.6200	16886.5703
Santa Cruz	Mechanics	Summer	49	3	7078.3760	86.5047	6898.5693	80.7377	34804.6010	802741.3000	11476.0191
Santa Cruz	Mechanics	Summer	49	4	3916.9870	157.1699	3620.5290	223.3305	22323.1600	762954.1100	3810.6726
Santa Cruz	Mechanics	Summer	56	1	7836.4493	63.4368	7612.0267	86.9145	34864.4660	483464.2700	4258.4587
Santa Cruz	Mechanics	Summer	56	2	8067.5120	253.9267	7510.5210	278.8720	31161.2500	786522.1800	6562.6430
Santa Cruz	Mechanics	Summer	56	3	7080.5120	203.9267	6910.5210	208.8720	34502.8860	770126.5000	9764.4932
Santa Cruz	Mechanics	Summer	56	4	6103.9883	190.8595	5722.6717	190.5719	32779.9860	701803.6900	11494.5764
Santa Cruz	Natural	Winter	14	1	1052.7133	39.1194	959.4756	38.1467	14760.4810	179345.8650	844.0890
Santa Cruz	Natural	Winter	14	2	616.1370	69.2037	488.0268	61.2736	11336.5329	162435.6290	595.9508
Santa Cruz	Natural	Winter	14	3	187.6411	16.3002	155.5223	13.2818	8377.7334	27998.3150	5990.6130
Santa Cruz	Natural	Winter	14	4	414.8014	30.7801	362.3017	21.1589	16956.3114	100002.9830	6944.3380
Santa Cruz	Natural	Winter	21	1	3396.7457	71.5105	3256.1423	53.1998	19398.7816	310407.7300	3119.2380
Santa Cruz	Natural	Winter	21	2	2061.0057	57.7975	1911.5193	89.5793	25651.9230	248022.0770	3689.1479
Santa Cruz	Natural	Winter	21	3	2923.0457	62.3984	2764.3777	83.0445	21167.4770	224003.2540	3087.5098
Santa Cruz	Natural	Winter	21	4	2713.7397	74.8330	2541.4730	95.0359	29630.8160	325061.6400	3759.1893
Santa Cruz	Natural	Winter	28	1	3913.4683	69.3084	3699.1823	145.3759	34736.0570	441409.7600	4041.4502
Santa Cruz	Natural	Winter	28	2	3124.2620	89.9649	2771.1997	260.8423	43804.0280	735241.0200	1417.2912
Santa Cruz	Natural	Winter	28	3	5923.7030	115.6986	5669.3897	161.7370	34457.3880	537090.8000	1471.4686
Santa Cruz	Natural	Winter	28	4	4950.8600	109.5726	4695.1277	132.6405	33334.3310	409845.9100	8462.1428
Santa Cruz	Natural	Winter	35	2	4861.2667	78.9745	4536.3257	233.2438	32862.6010	726262.4900	4602.0809
Santa Cruz	Natural	Winter	35	3	7003.7133	92.2716	6739.0080	156.4059	44625.0690	695990.2800	6740.7389
Santa Cruz	Natural	Winter	35	4	6696.9363	86.5047	6513.6083	86.5047	28140.4890	744188.3800	1863.5808
Santa Cruz	Natural	Winter	42	1	6810.0277	117.8421	6568.8803	154.5462	30619.4780	682794.0200	2009.0516
Santa Cruz	Natural	Winter	42	2	6696.1653	86.5047	6413.8110	224.9121	44344.0050	637584.3900	11907.6406
Santa Cruz	Natural	Winter	42	3	6774.6983	87.6919	6549.5607	150.5881	30913.4100	608238.5700	5886.1735
Santa Cruz	Natural	Winter	42	4	7903.7130	74.9707	7575.6577	231.4988	26107.1928	587460.2200	8483.6931
Santa Cruz	Natural	Winter	49	1	8449.5703	80.7377	8270.3897	68.0503	32383.6830	580961.3500	9510.6667
Santa Cruz	Natural	Winter	49	3	7918.3667	74.9707	7723.8307	134.0604	30259.6920	571117.2200	6392.0287
Santa Cruz	Natural	Winter	49	4	7987.9290	98.0386	7779.8473	121.1065	26097.3150	526834.5300	4621.2375
Santa Cruz	Natural	Winter	56	3	7124.0907	99.0870	6918.8280	137.3281	34549.5800	574980.2600	16448.9590
Santa Cruz	Natural	Winter	56	4	8067.1233	103.8056	7812.7813	133.0504	33866.5260	549721.6500	8607.6120
Santa Cruz	Natural	Summer	14	2	3230.0617	85.3513	3043.4153	103.8942	22084.0020	245954.9600	2039.2831
Santa Cruz	Natural	Summer	14	3	3433.6747	104.2829	3144.5507	174.6247	22606.0200	308917.3860	2896.2428
Santa Cruz	Natural	Summer	14	4	2598.4397	69.3084	2355.7147	166.0890	20679.2830	365697.6640	1327.7938
Santa Cruz	Natural	Summer	21	1	5078.7467	92.2716	4915.8980	64.1467	24792.2710	421071.9900	6969.7205
Santa Cruz	Natural	Summer	21	2	4032.5980	121.4656	3669.1500	213.9191	26032.6630	456459.9330	4189.6147
Santa Cruz	Natural	Summer	21	3	3219.0673	57.9488	2965.3127	191.6639	22142.0700	504885.8300	3384.1383
Santa Cruz	Natural	Summer	21	4	4633.7087	87.6468	4412.0900	98.5159	22121.7160	585061.3400	6256.4350
Santa Cruz	Natural	Summer	28	1	6018.5803	92.6815	5718.8770	179.0957	27256.8900	592085.6000	5716.1579
Santa Cruz	Natural	Summer	28	3	4729.9733	92.2716	4515.9500	121.8358	35875.5780	525038.9100	5430.3064
Santa Cruz	Natural	Summer	28	4	5110.9640	109.5726	4838.5547	109.5726	39105.2660	572069.3300	5561.4093
Santa Cruz	Natural	Summer	35	1	7121.5207	80.7377	6786.8120	224.9121	34176.0250	566921.6000	12798.4246
Santa Cruz	Natural	Summer	35	2	6243.4937	92.2716	5883.4657	279.2116	32705.1560	514545.6000	12503.8909
Santa Cruz	Natural	Summer	35	3	6635.1027	86.5047	6299.1943	230.6791	35826.7910	683512.0800	11146.1660
Santa Cruz	Natural	Summer	35	4	6746.2483	161.4754	6296.2447	265.5025	16570.4840	658338.0200	17978.7972
Santa Cruz	Natural	Summer	42	1	6882.0187	132.6405	6593.4830	149.9414	30380.0200	565695.5500	6640.7660
Santa Cruz	Natural	Summer	42	2	8014.4817	74.9707	7772.9830	115.3396	27653.1930	607653.7100	13012.7391
Santa Cruz	Natural	Summer	42	3	6256.0133	161.8852	5704.1720	331.5152	35269.1500	849512.1990	20307.2239
Santa Cruz	Natural	Summer	49	1	6590.9467	196.3649	6079.8563	251.4882	32776.9930	758650.3900	22064.8455
Santa Cruz	Natural	Summer	49	2	6924.5963	184.5433	6524.3480	209.4441	27621.4660	610773.1700	11308.3986
Santa Cruz	Natural	Summer	49	4	6152.1747	115.6986	5903.7260	109.9824	32046.6460	805157.3300	7349.5608
Santa Cruz	Natural	Summer	56	1	4869.2513	121.1065	4608.6923	144.1744	28218.6120	819416.4900	15583.9174
Santa Cruz	Natural	Summer	56	2	7865.2207	207.8032	7345.3403	242.2131	29780.7780	676655.9100	3508.9558
Santa Cruz	Natural	Summer	56	4	7464.3683	126.8735	7227.1020	115.6986	27763.9430	699079.8400	9550.4784
